id,aasta,voor,tase,number,pealkiri,raskus,kategooria,tüüp,alamteema,autor,statement_tex,vihje_tex,lahendus_tex,lahendusvotted,katsevahendid,punktid,lahendusseis,allikas,allikas_failitee,allikas_kaust
2016-v3g-ge1,2016,lõppvoor,G,E1,Tiivik,3,elektriahelad,E,,Mihkel Kree,"Kujutage graafiliselt tiiviku pöörlemiseks vajaliku elektrivõimsuse P (vahemikus 0,1 W kuni 2 W) sõltuvus tiiviku pöörlemissagedusest f . Teades, et sõltuvus avaldub kujul P = kf n, määrake astendaja n väärtus.

(tablool C.V.). Mootori käivitamiseks ei pruugi piisata pinge aeglasest suurendamisest, sel juhul ühendage voolujuhe hetkeks lahti ja siis kohe tagasi. Tahhomeetriga mõõtmisel hoidke all test-nuppu ning suunake laserkiir tiivikule, hoides tahhomeetrit sellest umbes 5 cm kaugusel. Tahhomeeter näitab lasertäpilt hajunud valguse heleduse võnkeperioode ühes minutis.
\textit{Kasutusjuhend:} Vooluallikal on pinge muutmiseks kaks nuppu: peen- (fine) ja jämereguleerimine (coarse). Jälgige, et vooluallikas töötaks konstantse pinge režiimis
\textit{Hoiatused:} Jälgige, et elektrivõimsus mootoris ei ületaks 2 W. Mootor võib läbi põleda! Ärge suunake laserikiirt endale ega teistele silma!",,"\textit{Lahendus on kogumikus lk 89. Siia ei ole seda veel ümber kirjutatud, sest originaalis on tabel või joonis, mis PDF-i tekstikihist loetavalt välja ei tule.}",,"alalisvoolumootor tiivikuga; muudetava pingega vooluallikas, mis näitab tablool nii pinget kui voolutugevust; ühendusjuhtmed; laser-tahhomeeter; graafikupaberid lineaarse teljestikuga ning logaritmiliselt jaotatud teljestikuga",10,kasitsi,"Eksperimendi kogu Ü115, lahendus lk 89",physics-collection/problems-exp/2016-v3g-ge1.tex,problems-exp
2016-v3g-ge2,2016,lõppvoor,G,E2,Kile ja paber,5,dünaamika,E,,Jaan Kalda,Leidke kile ja paberi vaheline hõõrdetegur.,,"Paneme tina kilekotti ja paneme ka pabeririba otsapidi kotti ning sukeldame sel-

le vette. Leiame, kui pikalt (H) peab olema pabeririba veenivoost allpool, et tina

koos kotiga kerkiks üles, kui pabeririba otsast tirida. Mõõdame riba laiuse L. Keskmine rõhumisjõud pabeririba ühele küljele on $\rho$vgH2L/2 ning vastav hõõrdejõud --- $\mu\rho$vgH2L/2. Et ribal on kaks külge, siis summaarne jõud on kaks korda suurem, $\mu\rho$vgH2L, mis peab olema võrdne haavlile mõjuva raskusjõu ja üleslükkejõu

vahega, $\mu\rho$vgH2L = mg(1 $- \rho$v/$\rho$t),

millest saame m($\rho-$v 1 $- \rho$t$-$1) H 2L $\mu$ = .",,"Purk veega, õhukeseseinaline kilekott, väike raskus massiga m = 8,5 g (tihedusega $\rho$k = 7,8 g/cm$^3$), ühtlase laiusega paberiribad, joonlaud, kuivatuspaber",14,toores,"Eksperimendi kogu Ü172, lahendus lk 130",physics-collection/problems-exp/2016-v3g-ge2.tex,problems-exp
2016-v3g-pe1,2016,lõppvoor,P,E1,Takistid,3,elektriahelad,E,,Oleg Košik,Määrake tundmatu takisti takistus.,,"Ühendame kõigepealt patarei voltmeetriga ja mõõdame

patarei pinge $U_0$ (näidiskatses saime $U_0$ = 4,9 V).

Nüüd leiame voltmeetri takistuse. Selleks ühendame

voltmeetri jadamisi patarei ja tuntud takistiga R =

5,6 k$\Omega$. Mõõdame voltmeetri pingeks $U_1$ (näidiskatses

$U_1$ = 2,2 V). Pinge takistil on seega UR = $U_0$ $-$ $U_1$, vool

$I_1$ = UR ning voltmeetri takistuseks saame R

RV = $U_1$ = U1R = U1R = 4,5 k$\Omega$. $I_1$ UR $U_0$ $-$ $U_1$

Lõpuks leiame tundmatu takisti takistuse r. Nüüd ühendame voltmeetri jadamisi patarei ja tundmatu takistiga. Mõõdame voltmeetri pingeks $U_2$ (näidiskatses $U_2$ = 3,1 V). Sarnaselt eelmise skeemiga leiame takisti takistuseks

r = ($U_0$ $-$ $U_2$)RV = 2,6 k$\Omega$. $U_2$",,"Patarei, tuntud takistusega takisti (R = 5,6 k$\Omega$), tundmatu takistusega takisti, voltmeeter, ühendusjuhtmed. Arvestage, et voltmeetril on olemas takistus",12,toores,"Eksperimendi kogu Ü114, lahendus lk 89",physics-collection/problems-exp/2016-v3g-pe1.tex,problems-exp
2016-v3g-pe2,2016,lõppvoor,P,E2,Pliiats,1,vedelike mehaanika,E,,EFO žürii,Määrake pliiatsi tihedus.,,"Asetame pliiatsi mõõtesilindrisse nii, et ta ujuks. Fikseerime ruumala muutuse $\Delta$$V_0$. Pliiatsi mass võrdub väljatõrjutud vedeliku massiga, seega m = $\rho$v$\Delta$$V_0$. Pliiatsi ruumala leidmisel paneme tähele, et meil vett ei ole piisavalt, et pliiatsit tervenisti uputada. Küll aga me saame teda uputada kahest erinevast otsast, märkides pliiatsil koha, milleni uputame. Mõõtesilindri abil mõõdame $\Delta$$V_1$ ja $\Delta$$V_2$. Pliiatsi ruumala seega V = $\Delta$$V_1$ + $\Delta$$V_2$. Tiheduseks saame

$\rho$ = $\rho$v $\Delta$$V_0$ . $\Delta$$V_1$ + $\Delta$$V_2$",,"pliiats, mõõtesilinder (50 ml), joogitops veega",12,toores,"Eksperimendi kogu Ü25, lahendus lk 43",physics-collection/problems-exp/2016-v3g-pe2.tex,problems-exp
2016-v2g-ge1,2016,piirkonnavoor,G,E1,Kumminiit,2,dünaamika,E,,Mihkel Kree,"On teada, et kumminiidi jäikustegur k sõltub väljavenitatud niidi lõpp-pikkusest l vastavalt valemile k = $\alpha$/l. Määrake $\alpha$ väärtus antud kumminiidi jaoks.",,"\textit{Lahendus on kogumikus lk 62. Siia ei ole seda veel ümber kirjutatud, sest originaalis on tabel või joonis, mis PDF-i tekstikihist loetavalt välja ei tule.}",,"kumminiit, joonlaud, tuntud massiga koormis",10,kasitsi,"Eksperimendi kogu Ü66, lahendus lk 62",physics-collection/problems-exp/2016-v2g-ge1.tex,problems-exp
2016-v2g-ge2,2016,piirkonnavoor,G,E2,Niit,4,dünaamika,E,,Jaan Kalda,"Määrake niidi ja silindri välispinna vaheline liughõõrdetegur $\mu$ täpsusega kuni 10\%.
\textit{Vihje:} on teada, et kui ümber pulga on keeratud niit teatud arv keerde nii, et niidi sihi summaarne pöördenurk radiaanides on $\varphi$ (nt $\varphi$ = 2$\pi$ vastab täpselt ühele täiskeerule) ja niidi ühest otsast tõmmatakse jõuga $T_1$ ning teisest otsast jõuga $T_2$ < $T_1$, siis niit hakkab libisema kui $T_1$ > T2e$\mu\varphi$.",,"Seome niidi ühte otsa n klambrit (klambritest on mugav teha ahel) ja teise otsa m ning viskame niidi üle silindri (nii et niidi siht pöördub nurga $\pi$ võrra). Alustuseks n = 1 ja leiame sellise vähima m-i väärtuse $m_1$, mille puhul niit hakkab libisema raskema otsa poole. Teame nüüd, et hõõrdetegur rahuldab võrratusi

$m_1$ $-$ 1 < e$\mu\pi$ < $m_1$,

millest 1 ln($m_1$ $-$ 1) < $\mu$ < 1 ln($m_1$). Võtame nüüd n = 2 ning analoogselt leiame $\pi$ $\pi$ m$^2$ väärtuse; kui eelmine osa oli õigesti tehtud, siis on meil kaks võimalust: m$^2$ =

2m1 või m$^2$ = 2m1 $-$ 1. Nüüd saame võrratuseks

( ) 1 ln ( m$^2$ ) . 1 ln m$^2$ $-$ 1 < $\mu$ < $\pi$ 2 $\pi_2$

jSuõultruevsa; lütlhdõjuõhrduelt$\pi$e1glunr(i mvännä$-$r1t)us<es$\mu$t võib olnll(amvnõni)m. Saelilklekpaõtshejalälbsiavaimiaekvaanst=us3ekjas n=4 anda < 1 $\pi$

1 ( mn(mn $-$ 1) ) $\mu \approx$ 2$\pi$ ln $n_2$ .

Samuti, kui hõõrdetegur on piisavalt väike, saab teha niidiga poole keeru asemel

poolteist keerdu (pöördenurk 3$\pi$). Olgu sellisel juhul niidi libisemise ajal ühes ot-

sas 1 klamber ja teises M klambrit; siis 1 ln(M $-$ 1) < $\mu$ < 1 ln M ning 3$\pi$ 3$\pi$

$\mu \approx$ 6$\pi$ ln[(M $-$ 1)M ].

Libeda silindri ja niidi puhul võivad tulla näiteks järgmised tulemused: $m_1$ = 3, m$^2$ = 5, m$^3$ = 7 ja $m_4$ = 9. Kõige täpsema tulemuse annab n = 4, $\mu \approx$ ln(4,5)/(2$\pi$) $\approx$ 0,24. Kui viia katse läbi poolteise keeru juures, siis saame M = 11, mis annab $\mu \approx$ ln(110)/(6$\pi$) $\approx$ 0,25, mis on natuke täpsem tulemus (sest antud juhul M > $m_4$).

Hindamine: Katse idee: 3 p. Mõõtmiste eest alljärgnevalt: leitud katseliselt ainult $m_1$: 2 p; leitud katseliselt m$^2$, kuid mitte mn, kus n > 2 ($m_1$ leidmine siinjuures punkte ei lisa, sest täpsust ei suurenda): 4 p; leitud katseliselt m$^3$, kuid mitte mn, kus n > 3: 5 p; leitud katseliselt $m_4$: 6 p (kui hõõrdetegur on nii suur, et n = 4 puhul ei jagu klambreid, siis tuleb anda n = 3 eest 5 p asemel 6 p); katse läbi viidud ka poolteise keeru juures: täiendavalt 1 p. Kui hõõrdetegur on nii suur, et klambreid ei jätku katse läbiviimiseks poolteise keeru juures, siis kantakse see punkt eelmistele mõõtmistele, st n = 1: 3 p; n = 2: 5 p; n = 3: 7 p. Kui katse on läbi viidud ainult poolteise keeru puhul, kuid ei ole mõõdetud poole keeru juures, siis antakse mõõtmiste eest kokku 6 p. Tulemuste täpsuse eest: Vastus arvutatud mõõtmistulemuste põhjal vigadeta ja tulemuse erinevus tegelikust väärtusest ei ole suurem kui 10\%: 2 p; on 15\% ja 10\% vahel: 1,5 p; on 20\% ja 15\% vahel: 1 p; on 30\% ja 20\% vahel: 0,5 p.

Märkus: põhimõtteliselt on vale katset läbi viia nii, et riputada niidi otstesse võrdsed arvud klambreid, asetada see silindrile ning kallutada silindri telge leides nurga, mille juures niit hakkab libisema. Esiteks, sellisel juhul ei kehti seos $\mu$ = tan $\alpha$, teiseks, nurga mõõtmiseks pole katsevahendeid. Selline lahendus annab 0 p.",,"kirjaklambrid (15 tk), silinder, niit (niidi mass on tühine võrreldes kir- jaklambri massiga)",12,toores,"Eksperimendi kogu Ü147, lahendus lk 109",physics-collection/problems-exp/2016-v2g-ge2.tex,problems-exp
2016-v2g-pe1,2016,piirkonnavoor,P,E1,Kumminiit,1,dünaamika,E,,Erkki Tempel,Milline sõltuvus valitseb kumminiidi algpikkuse $l_0$ ja kumminiidi pikenemise $\Delta$l vahel antud koormise korral? Esitage graafik millimeeterpaberil ja nimetage leitud sõltuvuse tüüp.,,"\textit{Lahendus on kogumikus lk 41. Siia ei ole seda veel ümber kirjutatud, sest originaalis on tabel või joonis, mis PDF-i tekstikihist loetavalt välja ei tule.}",,"kumminiit, koormis, joonlaud, millimeeterpaber",10,kasitsi,"Eksperimendi kogu Ü23, lahendus lk 41",physics-collection/problems-exp/2016-v2g-pe1.tex,problems-exp
2016-v2g-pe2,2016,piirkonnavoor,P,E2,Pangaröövel,1,varia,E,,Erkki Tempel,Pangaröövel varastas 10 kilogrammi 5-sendiseid euromünte. Leidke sellise rahakoguse väärtus eurodes.,,"Selleks, et leida 10 kg 5-sendiste müntide arv, peame leidma ühe mündi massi. Selleks kasutame kangimeetodit. Kuna joonlaud on kolmnurkne, peame kõigepealt leidma selle raskuskeskme. Selleks asetame joonlaua laua servale (joonlaua skaala on laua servaga risti) ning leiame koha, kus joonlaua laua peal olev osa ning üle laua olev osa on tasakaalus (1 p). Edaspidistes mõõtmistes peab joonlaua asend olema laual nii, et joonlaua raskuskeskme asukoht ühtiks laua servaga ning joonlaua skaala on laua servaga risti (2 p). Asetame ühe mündi (näiteks 20-sendise) joonlaua laua peal oleva osa peale ning teise (5-sendise) mündi joonlaua teise otsa peale. Nüüd hakkame liigutama 20sendist joonlaua keskpunkti poole ning leiame koha, kus joonlaud jääb tasakaalu (2 p). Vastavalt kangi reeglile on mündile mõjuvate raskusjõudude ja jõuõlgade korrutised võrdsed.

m20g $\cdot$ l20 = m5g $\cdot$ $l_5$ (1 p)

Mõõtes müntide keskpunktide kaugused (l20 ja $l_5$) pöörlemisteljest (2 p) ning teades 20-sendise mündi massi, saame 5-sendise mündi massiks

$m_5$ = 5,7 g $\cdot$ l20 (1 p) $l_5$

Vastus täpsusega 3,9 g $\pm$ 0,2 g annab 2 p, 3,9 g $\pm$ 0,4 g annab 1 p. Seega 10 kg müntide väärtus on

n= 10 kg $\cdot$ 0,05 EUR $\approx$ 130 EUR. (1 p)

$m_5$",,"20-sendine euromünt (m = 5,7 g), 5-sendine euromünt, kolmnurkne joonlaud",12,toores,"Eksperimendi kogu Ü24, lahendus lk 42",physics-collection/problems-exp/2016-v2g-pe2.tex,problems-exp
2015-v3g-ge1,2015,lõppvoor,G,E1,Kaks palli,3,dünaamika,E,,Jaan Kalda,"Määrata, mitu protsenti kineetilisest energiast muutub kahe palli omavahelisel põrkel soojuseks.",,"Riputame pallid paralleelsete pendlitena statiivi külge sarnaselt Newtoni hällile.

Mõõdame pendlite pikkused, olgu need L = 60 cm. Kergitame esimese kuuli üles

teatud kõrgusele, kusjuures külgsuunaline nihe olgu $x_0$ = 30 cm. Laseme selle lii-

kuma nii, et kuul lendab vastu teist (algselt paigalseisvat) kuuli. Kui põrge oleks

absoluutselt elastne, siis vahetaksid kuulid kiiruseid ehk esimene kuul jääks seis-

ma. Kuna põrkel läheb osa energiast kaduma, siis omandab see siiski teatud kii-

ruse, mille põhjal teemegi kindlaks põrkel kaotatud energia. Püüame teise (algselt

paigal olnud) kuuli, mis nüüd märkimisväärse kiiruse omandas, käega kinni ning

teeme kindlaks, millise amplituudiga jääb võnkuma esimene kuul. Olgu ampli-

tuud $x_1$ = 1,5 cm. Paneme tähele, et meetod eeldab täpselt tsentraalset põrget. Kui

põrge ei ole tsentraalne, omandab kuul külgsuunalise kiiruse, mille väärtus sõltub

esmajoones põrke mitte-tsentraalsusest (ja vähem mitte-elastsusest). Sestap tuleb

veenduda, et esimene kuul hakkaks võnkuma enam-vähem enda esialgse liiku-

mise suunas. Kui võnkumissuund on oluliselt pöördunud, tuleb katset korrata se-

ni, kuni õnnestub enam-vähem tsentraalne põrge. Olgu esimese kuuli kiirus enne

põrget $v_0$. Massikeskme süsteemis lähenevad mõlemad kuulid teineteisele kiiruse-

ga $v_0$ . Kui põrkel kaduma läinud energia suhe akv2l0ug(us1el$-$isdsee1kki$-$iinreukes)t.eiKdliisvisr1eu=estneve2s0rughi1atse$-$sevvk0o.snLakaa--,

siis pärast põrget on massikeskme süsteemis

boratoorses süsteemis on kiirus v = $v_0$ $-$$v_1$ =

me potentsiaalsete energiate abil: v = $h_1$/$h_0$, kus $h_0$ = L $-$ $L_2$ $-$ x20 $\approx$ 80 mm $v_0$

ja analoogiliselt $h_1$ $\approx$ = 1 $-$ 2 v $\approx$ 0,903, millest k $\approx$ 0,19 0,19 mm. Seega 1 $-$ k $v_0$

ehk põrkel läheb kaduma umbes 19 \% kineetilisest energiast.",,"kaks ühesugust nööri otsa kinnitatud elastset palli, statiiv, millimeeterpaber, kirjaklambrid",14,toores,"Eksperimendi kogu Ü113, lahendus lk 88",physics-collection/problems-exp/2015-v3g-ge1.tex,problems-exp
2015-v3g-ge2,2015,lõppvoor,G,E2,Valgusdiood,5,elektriahelad,E,,Jaan Kalda,Määrata valgusdioodi voolutugevuse sõltuvus pingest vahemikus 0 V$^{-3}$ V (joonistada graafik).,,"Ühendame patarei järjestikku takistiga takistusega R ja dioodiga ning mõõdame pinget takistil UT ja pinget dioodil UD. Voolutugevus läbi dioodi on I = UT /R. Näeme, et patarei pingest ei piisa selleks, et saada läbi dioodi nõutavat voolutugevust. Seepärast laeme kondensaatori ja ühendame selle järjestikku patareiga, nii et pinge kahekordistub. Alustame takistiga takistusega R = 1 k$\Omega$, sest R = 10 k$\Omega$ puhul ei saavutaks me soovitud suurimat voolutugevust (100 $\mu$A). Vajalikud andmed saame tühjenemise käigus pingeid samaaegselt registreerides. Umbes I = 10 $\mu$A juures (täpne hetk pole tähtis) vahetame vooluringis takistit, sest muidu lähevad takistil mõõdetavad pinged nii väikeseks, et voolu mõõtmiseks kasutatava voltmeetri näidatavate tüvenumbrite arv jääb liiga napiks. Väga väikeste voolude juures (alla I = 5 $\mu$A) tühjeneb kondensaator nii aeglaselt, et voolu vähenemist ei jõua ära oodata. Siis tuleb teise takisti abil kondensaatorit järg-järgult tühjendada (st ühendada see mahtuvusega rööbiti). Sobilikku tühjenemisastet saab samal ajal jälgida dioodivoolu abil (st vaadata pinget dioodiga jadamisi oleval takistil)",,"kaks voltmeetrit, kaks takistit ($R_1$ = 1 k$\Omega$ ja $R_2$ = 10 k$\Omega$), kondensaator (mahtuvus suurusjärgus 20 mF), patarei pingega 1,5 V, juhtmed, millimeeterpaber",14,toores,"Eksperimendi kogu Ü171, lahendus lk 130",physics-collection/problems-exp/2015-v3g-ge2.tex,problems-exp
2015-v3g-pe1,2015,lõppvoor,P,E1,U-toru,2,vedelike mehaanika,E,,Erkki Tempel,"Leidke piirituse tihedus.

statiiv käpaga.",,"Täidame U-toru poolenisti veega ning lisame ühte U-toru

harusse õhukese kihi toiduõli. Toiduõli lisamine on vaja-

lik, et vesi ja piiritus ei saaks omavahel seguneda Nüüd lisa- vesi piiritus me ettevaatlikult õli peale piiritust. Piirituse samba kõrgus $h_2$

peaks olema vähemalt 5 cm. Kuna toiduõli kiht on võrreldes $h_1$

piirituse kihiga väga väike, siis võib selle jätta arvestamata

(lisada piirituse nivoo juurde).

õli

pp = pv $\Rightarrow$ $\rho$pgh2 = $\rho$vgh1 $\Rightarrow$ $\rho$p = $\rho$v $h_1$ $\approx$ 0,8 g/cm$^3$ vesi $h_2$",,"U-toru, millimeeterpaber, vesi ($\rho$ = 1,0 g/cm$^3$), piiritus, toiduõli,",10,toores,"Eksperimendi kogu Ü65, lahendus lk 61",physics-collection/problems-exp/2015-v3g-pe1.tex,problems-exp
2015-v3g-pe2,2015,lõppvoor,P,E2,Tops,3,staatika,E,,Jaan Kalda,"Määrata võimalikult täpselt joogitopsi massikeskme kaugus lauapinnast siis, kui tops seisab püsti laual.",,"Paneme topsi kaldpinnale ja suurendame kallet niikaua kuni tops ümber kukub. Mõõdame sel hetkel kaldpinna otste kõrguste vahe h (joonisel |EF | = h). Mõõdame topsi alumise serva diameetri d (täpsemalt: toetuspinnaga moodustuva kontaktjoone välise diameetri), joonisel d = 2|AO|. Tops kukub ümber, kui massikeskme vertikaalprojektsioon läheb kontaktjoonest väljapoole, piirjuhul on see otse kontaktjoone kohal, vt joonist. Seetõttu on joonisel $\angle$ACO = $\angle$EBF vastavalt ristuvate külgede tõttu ning seega on kolmnurgad ACO ja EBF sarnased. Seega otsitav kõrgus |OC| = |BF | $\cdot$ |AO|/|EF | = $L_2$ $-$ h2d/2h, kus L on laua pikkus |BE| (samuti mõõdame üle).

E

C

O A B

F",,"tasane plaat, joonlaud, tühi papist joogitops",12,toores,"Eksperimendi kogu Ü112, lahendus lk 88",physics-collection/problems-exp/2015-v3g-pe2.tex,problems-exp
2015-v2g-ge1,2015,piirkonnavoor,G,E1,Tikud,3,varia,E,,Erkki Tempel,"Mitu protsenti moodustab tikuväävli mass tiku kogumassist?
\textit{NB:} Mõõtejoonlaua kasutamine on keelatud!",,"Koostame kahest tikust kangkaalu. Asetame ühe tiku teise peale risti. Alumist tik-

ku hoiame nii, et terav serv oleks ülespoole, mille peale toetub ülemine tikk (vt.

joonist). Määrame ülemise tiku tasakaalupunkti ning märgime selle ära.

$l_1$ $l_2$

Lahenduses eeldame, et tikuväävli raskuskese asub tikuväävli keskpunktis ning see ühtib tiku puidust osa otspunktiga. Mõõdame tiku osade pikkused kummalgi pool tasakaalupunkti. Seal pool, kus asub tikuväävel, mõõdame kuni tikuväävli keskpunktini. Tähistame selle osa pikkuse $l_1$ ning teise osa pikkuse $l_2$. Mõõtmiseks märgime paberile tiku pikkuse ning tasakaalupunkti ning vaatame mitu tiku laiust kumbki osa pikk on. Asetame ühe tiku märgitud punkti ning tõstame teise tiku tihedalt tema kõrvale jne.

Tikuväävlile mõjub raskusjõud, mille rakenduspunkt asub toetuspunktist kaugusel $l_1$ ning tiku puidust osale raskusjõud, mille rakenduspunkt asub toetuspunktist kaugusel lx (tiku puidust osa masskese). Tähistades tikuväävli mass m ning tiku puidust osa mass M , saame kirjutada kangi tasakaalu seose kujul

mgl1 = M glx, kus lx = $l_1$ + $l_2$ $-$ $l_1$ = $l_2$ $-$ $l_1$ 2 2

Et leida, mitu protsenti moodustab tikuväävli mass tiku kogumassist, jagame tikuväävli massi m tiku kogumassiga M + m:

M + m = M + M lx = M ($l_1$ + lx) $l_1$ $l_1$

seega,

p= m = ml1

m + M M ($l_1$ + lx)

Asendades masside suhte m/M jõuõlgade suhtega lx/$l_1$, saame

p = lx $l_1$ + lx

Asendades viimasest avaldisest lx, saame

p = $l_2$ $-$ $l_1$ $l_2$ + $l_1$

Tiku osade pikkused suhtuvad keskmise tiku korral $l_1$ = 8 tiku laiust ning $l_2$ = 12 tiku laiust. Tulemus sõltuvalt tikust on 15 \% $-$ 25 \%.

Hindamine: Tikkudest kangkaalu ehitamise idee --- 2 p. Oletus, et tikuväävli masskeskme asukoht ühtib tiku puidust osa otspunktiga --- 1 p. Tasakaalupunkti otsitakse tiku terava serva peal (mitte tiku lapiku külje peal) --- 1 p. Mõõtmisteks vajaliku katseskeemi joonistamine paberile --- 1 p. Tiku osade pikkuste mõõtmine tiku laiuste abil --- 2 p. Matemaatilised teisendused --- 3 p. (kui õpilane avaldab kangi seadusest ainult m/M , siis saab teisenduste eest 1 p.) Kordusmõõtmised (vähemalt 3 korda) --- 1 p. Tulemus vahemikus 15 \% $-$ 25 \% --- 1 p.

Märkus: Kui lahendaja kasutab mõõtejoonlauda, saab ülesande lahenduse eest maksimaalselt 9 punkti.",,Kaks tikku,12,toores,"Eksperimendi kogu Ü110, lahendus lk 85",physics-collection/problems-exp/2015-v2g-ge1.tex,problems-exp
2015-v2g-ge2,2015,piirkonnavoor,G,E2,Läätse fookuskaugus,3,geomeetriline optika,E,,Erkki Tempel,Leidke nõgusläätse fookuskaugus 20 \% täpsusega.,,"Vaatame ruudulist paberit läbi läätse ning võrdleme ruutude suurusi, mida näeme otse paberit vaadates ning läbi läätse vaadates (vt. joonis).

2 ruutu

4 ruutu

F

Kuna me peame leidma läätse fookuskauguse 20 \% täpsusega, siis võime teha lihtsustuse, et kaugelt vaadates on kujutis objekti asukohas. Kõige lihtsam on läätse fookuskaugust leida siis, kui nähtav kujutis on kaks korda väiksem kui ese. Sellisel juhul ühtib läätse fookuskaugus eseme kaugusega läätsest (vt joonis). Läätse fookuskaugus on sellise meetodiga mõõtes 16 cm $\pm$ 1 cm.

Hindamine: Idee võrrelda eseme suurust kujutise suurusega --- 3 p. Lihtsustus, et kujutis on objekti asukohas --- 3 p. Fookuskauguse leidmine eseme ja kujutise suuruste suhte kaudu --- 4 p. Kordusmõõtmised (3 mõõtmist) --- 2 p.",,"Nõguslääts, mõõtejoonlaud, ruuduline paber",12,toores,"Eksperimendi kogu Ü111, lahendus lk 87",physics-collection/problems-exp/2015-v2g-ge2.tex,problems-exp
2015-v2g-pe1,2015,piirkonnavoor,P,E1,Keha ruumala,1,vedelike mehaanika,E,,Erkki Tempel,Määrake metallist keha ruumala.,,"Riputame keha dünamomeetri külge, saame teada kehale mõjuva raskusjõu $N_1$ = Fr, kus $N_1$ on dünamomeetri näit. Riputame keha dünamomeetri külge ning sukeldades vette, näitab dünamomeeter ($N_2$) keha raskusjou Fr ja üleslükkejõu Fü = $\rho$vgV vahet

$N_2$ = Fr $-$ Fü = $N_1$ $- \rho$vgV $\Rightarrow$ V = $N_1$ $-$ $N_2$ . $\rho$v g

Hindamine: Eksperimendi idee --- 3 p. Raskusjõu mõõtmine --- 1 p. Vette asetatud kehale mõjuva jõu mõõtmine --- 1 p. Seos $N_2$ = Fr $-$ Fü = $N_1$ $- \rho$vgV annab 1 p. Keha ruumala V avaldamine --- 2 p. Kordusmõõtmised (3 katset) --- 1 p. Vastus erineb õigest tulemusest kuni 5 cm$^3$ --- 1 p..",,"metallist keha, dünamomeeter, anum veega ($\rho$v = 1 g/cm$^3$)",10,toores,"Eksperimendi kogu Ü22, lahendus lk 41",physics-collection/problems-exp/2015-v2g-pe1.tex,problems-exp
2014-v3g-ge1,2014,lõppvoor,G,E1,Fresneli lääts,4,geomeetriline optika,E,,Eero Uustalu,"Määrake Fresneli läätse materjali absoluutne murdumisnäitaja nf .
\begin{center}
\includegraphics[width=0.22\linewidth]{2014-v3g-ge1-yl.png}
\end{center}
\textit{Näpunäited:} Selles katses kasutatava Fresneli läätse üks pind on tasane ning teine koosneb kaarjatest segmementidest raadiusega R (joonis läbilõikest). Fresneli läätse sakilise pinna võib asendada mõttelise sfäärilise pinnaga, mille kõverusraadius on samuti R, ilma et läätse fookuskaugus sellest muutuks. Tasakumera läätse optiline tugevus avaldub kui D = (n$-$1)/R, kus n on läätse materjali murdumisnäitaja ümbritseva keskkonna suhtes. Üksteisega kokkupuutuvatest optilistest elemetidest koosneva süsteemi optiline tugevus avaldub süsteemi elementide optiliste tugevuste summana.",,"Määrame läätse fookuskauguse.

1 (n $-$ 1) fL = DL = R

Täidame läätse hammastatud poole ja läbipaistva plaadi vahe veega, mille tulemusena saame litläätse. Nüüd määrame selle liitläätse fookuskauguse. Lahutame selle kaheks lähedal asetsevaks iseseisvaks läätseks, kus negatiivse vesiläätse optiline tugevus on

1 = Dv = (nv $-$ 1) fv $-$R

Selle läätsesüsteemi optiline tugevus ja fookuskaugus on

1 = Ds = DL + Dv = (n $-$ 1) + (nv $-$ 1) = (n $-$ nv) fs R $-$R R

Seega

1 = (n $-$ 1) ja 1 = (n $-$ nv) fL R fs R

Lahendame süsteemi ja avaldame murdumisnäitaja n = nv $\cdot$ fs $-$ fL fs $-$ fL

Kui fs = 0,43 m ja fL = 0,15 m, siis n = 1,507.

Märkus: Kaugete objektide puudumisel peaks fookuskauguse täpseks määramiseks

kasutama läätse valemit 1 11 =+

f ak

kus f on fookuskaugus, a esemekaugus läätsest ning k kujutise kaugus läätsest.",,"Fresneli lääts, mõõdulint, vesi (murdumisnäitaja nvesi = 1,33), läbipaistev plaat, kuivatuspaber",12,toores,"Eksperimendi kogu Ü146, lahendus lk 108",physics-collection/problems-exp/2014-v3g-ge1.tex,problems-exp
